ID;CNT_TBM;CNT_ATM;CNT_POS;CNT_CSC
41360;34;3;3;9
52094;44;17;5;18
57340;122;26;32;36
76885;42;3;6;1
89150;20;15;2;2
94512;83;20;49;3
96396;33;9;49;17
98062;22;5;9;1
122779;21;27;2;1
125838;127;3;2;3
137317;52;20;2;11
147896;101;40;8;1
150206;156;52;80;4
160501;31;32;42;12
176820;107;3;2;1
187784;54;14;7;24
189200;92;3;2;2
198327;44;27;17;3
200237;146;3;2;1
207980;39;5;2;4
227355;180;3;2;10
228317;46;14;2;1
228906;25;3;2;1
229984;15;3;2;1
241022;13;3;2;1
253260;65;3;2;1
257910;35;3;2;1
261717;11;5;2;1
266600;15;3;2;1
269176;107;78;22;7
273510;110;15;6;21
302929;13;3;2;1
311940;16;15;16;1
341023;55;21;2;1
347091;17;14;7;1
375426;32;3;2;3
388852;18;3;2;1
404194;73;11;37;6
414364;49;11;2;1
417191;122;25;19;7
417996;133;27;7;1
420459;25;3;2;1
427493;27;31;39;52
434975;19;3;2;1
441474;19;3;2;1
469447;11;9;2;1
484515;59;36;2;10
489111;118;3;2;2
494168;199;3;2;1
504965;38;12;2;1
529476;76;3;2;1
548357;15;8;3;1
559012;76;3;2;1
599726;51;10;50;9
600359;112;24;28;5
629637;11;4;2;1
638213;166;14;6;3
641370;49;3;2;5
667651;93;22;27;3
696561;42;3;2;1
716261;60;46;2;1
755205;33;29;4;1
765932;186;50;12;18
766047;96;8;10;5
767265;12;6;2;1
772700;23;4;2;1
776709;40;3;2;1
778879;16;37;9;1
780357;51;24;2;1
785401;20;11;2;2
794342;191;21;2;11
803963;27;7;2;1
816976;14;5;2;1
858113;10;4;2;1
872299;119;13;17;15
891864;117;12;2;1
893304;14;11;3;1
899736;38;25;14;2
904410;16;4;2;1
942859;14;5;2;1
948961;211;21;4;1
964154;94;17;56;12
987437;17;3;2;1
993476;11;6;2;1
995997;188;5;2;2
997417;97;17;8;24
999996;25;85;15;6
1042998;17;3;2;2
1064704;1024;3;2;33
1064731;20;37;2;2
1067051;79;18;2;5
1079463;12;3;2;1
1081759;53;21;23;55
1085242;94;7;2;1
1090812;227;28;76;26
1104403;49;3;2;1
1110480;190;3;2;11
1121453;25;11;24;26
1126673;51;19;2;8
1147225;54;36;37;19
1149223;25;32;3;3
1149433;27;3;2;1
1151911;81;88;86;46
1189420;14;37;38;1
1191887;107;38;60;5
1198314;11;3;2;1
1202405;18;14;8;2
1217236;77;13;2;2
1250537;102;23;32;20
1254942;170;95;40;12
1258533;157;8;2;3
1276424;19;7;2;1
1280471;194;31;4;1
1284276;13;3;2;1
1290045;91;3;2;17
1296079;66;4;2;4
1305374;35;53;70;10
1306224;180;3;2;27
1310114;58;3;2;9
1334535;11;3;2;1
1352356;71;38;2;10
1367745;15;3;2;3
1374288;64;23;40;29
1374351;87;35;23;24
1387608;12;3;2;1
1395604;67;14;3;1
1412859;66;14;70;1
1413185;60;14;18;4
1421269;93;3;2;1
1428714;83;12;4;12
1434126;67;36;43;12
1439866;117;67;3;2
1443044;95;8;2;2
1454002;569;3;2;8
1471061;72;3;2;1
1471421;39;16;2;9
1479999;22;28;2;1
1499528;10;8;2;1
1515549;10;3;2;2
1518124;20;3;2;3
1522816;345;51;2;16
1530597;81;24;4;1
1532078;12;3;2;1
1541975;10;28;2;1
1558803;78;18;4;1
1566186;43;21;56;41
1569261;11;15;2;5
1572913;11;3;3;1
1578231;22;8;2;8
1581108;18;25;2;1
1581133;26;15;4;2
1583756;55;3;2;2
1592143;123;3;2;2
1603893;34;3;2;1
1617077;51;16;2;2
1620381;199;3;2;2
1621870;420;3;2;2
1636631;287;20;26;9
1654868;99;29;26;1
1662817;207;60;2;6
1665107;35;33;2;21
1666169;12;8;2;1
1676184;33;12;2;8
1696116;36;31;12;1
1707667;11;8;2;1
1707701;103;29;87;1
1712039;52;41;21;25
1720618;32;3;2;1
1721703;100;40;2;5
1727701;13;3;2;2
1727767;37;3;2;6
1731937;39;18;2;9
1745202;52;51;16;15
1747537;10;13;2;2
1762053;16;12;6;1
1777852;27;41;11;1
1780971;39;51;131;40
1806221;86;22;40;11
1807957;19;59;2;1
1809028;114;3;2;1
1820979;14;3;2;1
1828853;105;19;2;2
1829210;38;26;37;1
1858358;11;5;2;1
1860885;59;45;2;2
1861100;138;15;16;26
1878860;13;4;2;1
1888294;53;3;2;1
1940864;31;6;2;1
1945099;23;3;16;18
1951315;14;4;2;1
1955596;56;3;2;5
1963038;21;7;2;1
1964627;44;99;15;12
1993530;18;25;3;1
1994437;23;3;2;1
1994655;46;44;33;10
1999565;110;3;2;5
2009292;26;53;14;7
2010470;11;3;2;2
2011568;691;3;2;7
2012422;66;14;54;1
2016078;68;3;2;3
2022296;72;3;2;2
2039975;119;3;4;11
2042837;14;3;2;1
2043101;20;3;2;1
2044626;80;25;2;4
2049108;88;21;28;1
2049466;37;26;4;5
2051398;30;3;2;1
2053325;280;3;2;6
2058059;118;31;31;3
2076704;12;3;2;3
2078336;70;29;2;1
2079352;22;94;2;1
2086295;68;19;43;9
2100641;33;58;20;1
2119525;65;46;2;1
2123114;11;3;2;3
2128617;55;56;2;1
2141189;148;21;7;11
2142497;172;3;2;1
2142687;27;41;22;7
2159766;129;3;17;1
2166117;113;95;5;3
2171584;38;3;2;1
2172173;27;65;22;1
2174463;149;57;23;63
2174621;64;47;2;42
2184535;72;3;2;1
2193607;35;4;2;1
2203937;75;13;2;2
2214035;41;15;3;1
2239614;86;3;2;1
2251545;77;24;2;2
2255606;47;81;20;3
2296447;41;4;2;4
2301285;92;44;2;6
2336432;17;3;2;1
2381349;41;81;8;1
2381883;84;20;2;1
2397047;94;15;2;8
2418071;17;6;2;1
2419818;36;16;4;12
2463136;97;31;2;1
2469729;41;65;2;2
2472254;88;18;29;11
2494149;20;3;2;1
2498151;42;16;2;8
2511506;11;3;2;1
2516018;50;3;2;1
2516671;10;3;2;2
2517396;173;3;2;2
2519748;39;30;5;47
2528621;54;31;2;2
2529653;132;7;45;6
2530328;168;37;11;27
2536981;47;3;2;1
2543875;58;8;41;6
2550206;39;49;5;28
2552229;29;7;2;1
2574623;40;31;8;1
2586148;43;3;2;16
2591748;266;22;2;5
2604858;16;4;2;4
2622224;10;27;2;1
2648266;45;3;2;14
2672464;57;23;8;92
2700454;59;3;2;1
2704645;111;16;2;1
2708921;97;3;2;1
2709673;100;52;91;32
2714850;12;8;3;1
2715437;41;67;33;1
2734190;29;52;5;38
2744422;13;21;2;1
2747685;28;3;2;5
2756805;162;28;18;1
2761016;27;63;45;1
2771129;56;19;2;1
2772688;66;23;10;69
2789363;22;30;33;1
2804407;16;9;2;4
2813265;58;3;12;1
2815364;130;20;8;5
2826153;13;27;2;1
2837748;62;3;15;1
2838728;121;10;10;72
2863568;55;9;2;1
2864040;56;9;16;4
2869933;98;6;2;1
2873069;36;12;88;7
2875167;10;8;2;1
2898953;69;8;2;46
2909512;25;5;20;2
2927709;11;4;2;1
2933858;67;41;55;3
2934967;16;30;2;1
2940044;33;10;2;2
