ID,Age,MonthlyIncome,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,DebtRatio,OpenCreditCardLoans,DaysPastDue90,OpenRealEstateLoans,LastYearProfit
4,30,3300,0,0.233809776,0.036049682,5,0,0,2105.0
11,30,2500,0,0.644225962,0.30947621,5,0,0,1115.0
26,50,4676,1,0.392248482,1.595253368,14,0,3,-2336.0
37,50,4000,1,0.881836362,0.567858035,9,0,1,2697.0
50,70,6900,0,7.96E-5,0.256339661,21,1,1,2438.0
52,31,3000,1,0.728150491,0.824725092,10,0,2,-2066.0
54,51,5750,0,0.028562367,0.306381499,5,0,1,1997.0
76,36,8600,3,0.234218112,0.116614347,19,0,0,1299.0
100,75,7500,0,0.032617977,0.006799093,4,0,0,682.0
102,34,4000,0,0.019387779,0.32591852,9,0,1,508.0
106,46,6250,3,0.114830941,0.026235802,6,0,0,1496.0
107,80,10060,0,0.018886792,0.003478779,5,0,0,586.0
110,61,NA,NA,0.041257909,4739.0,11,0,4,651.0
117,46,10200,0,0.06790706,0.149103029,6,0,2,554.0
119,68,NA,0,0.007520592,269.0,4,0,0,1148.0
123,67,4145,0,0.297594642,0.239507959,13,0,0,1976.0
134,81,2751,1,0.163037489,0.086482558,7,0,0,473.0
135,51,3150,0,0.047311582,0.100920343,5,0,0,1707.0
142,72,NA,0,0.576518559,3031.0,11,0,1,704.0
144,27,NA,0,0.362483818,567.0,4,0,0,1554.0
152,57,3500,1,0.175932019,0.655812625,9,0,1,704.0
153,30,4000,1,0.050789842,0.315171207,4,0,1,507.0
156,60,6825,0,0.012682366,0.412979783,20,0,2,1644.0
158,49,3100,0,0.040795358,0.801999355,11,0,1,349.0
162,38,NA,0,0.070771911,2088.0,6,0,1,2591.0
169,36,7734,0,0.170103002,0.138461538,8,0,0,621.0
170,33,5000,0,0.771845631,0.852429514,7,0,3,225.0
172,29,NA,0,0.9999999,974.0,2,0,0,2497.0
177,69,2255,3,0.9999999,0.005319149,0,1,0,494.0
180,35,NA,1,0.946963874,1593.0,6,0,1,-595.0
182,65,NA,1,0.055549313,2177.0,6,0,1,857.0
185,51,6200,0,0.085338293,0.477503628,11,0,1,-795.0
190,55,15000,3,0.714980139,0.47090194,12,0,2,964.0
208,60,NA,1,0.007506793,1253.0,8,0,1,2330.0
209,92,2650,0,0.046640328,0.034326669,13,0,0,944.0
210,50,8750,0,0.292365949,0.420180551,8,0,2,1384.0
225,63,6001,0,0.455950788,0.701766078,19,0,2,867.0
226,37,6000,0,0.080288098,0.322446259,7,0,1,641.0
237,55,5000,0,0.125429152,0.476704659,3,0,2,2621.0
244,68,6000,0,0.9999999,0.040493251,0,0,0,742.0
249,78,4500,0,0.012151003,0.008886914,12,0,0,1872.0
252,58,3500,0,1.048210842,0.151956584,12,0,0,-2858.0
255,53,8500,5,0.112321289,0.266909775,9,0,1,468.0
260,42,NA,0,0.090614887,86.0,5,0,0,394.0
261,65,12500,1,0.034645112,0.125189985,4,0,1,488.0
267,43,208333,1,0.007982621,0.009691169,11,0,1,1307.0
269,76,2900,0,0.019779326,0.267149259,9,0,0,878.0
275,57,26484,3,0.29264536,0.205927884,11,0,2,1987.0
277,69,8332,0,0.008099838,0.389895596,3,0,1,1218.0
279,28,3750,0,0.006099797,0.139429485,8,0,0,1058.0
281,40,8855,0,0.941072508,0.178184282,9,0,1,3158.0
283,42,16250,1,0.691488418,0.272721679,11,0,1,634.0
284,64,2652,0,0.112855258,0.307576329,6,0,1,676.0
297,29,2725,0,0.547887778,0.24651504,5,0,0,991.0
298,46,15800,4,0.271668778,0.282830201,14,0,2,1280.0
300,68,4000,0,0.897203427,0.787803049,8,0,2,744.0
304,66,11600,1,0.9999999,0.046633911,2,0,0,658.0
314,49,8333,1,0.093638481,0.042836573,10,0,0,1495.0
326,52,6946,1,0.155240525,0.483518065,15,0,2,951.0
328,29,2090,0,0.067259209,0.168340507,3,0,0,821.0
329,45,7500,2,0.284236153,0.318890815,9,0,1,2168.0
330,38,2423,1,0.727560021,0.712458746,6,0,1,936.0
344,30,5600,0,0.9999999,0.090341011,1,0,0,932.0
346,59,15928,1,0.429246267,0.381254316,17,0,1,967.0
353,69,3000,0,0.507972665,0.193935355,10,2,0,300.0
